region,group,ME,emissions
EAS,Japan,0.808770606,7.174110885
EAS,South Korea,0.769731896,7.384769606
EAS,China,0.28806494,6.448260845
EUR,Rest of Europe,0.801551591,7.66237906
EUR,South Europe,0.691102711,6.745562082
EUR,Balkans,0.668723512,6.413682516
EUR,East Europe,0.639202137,6.060168137
EUR,Former USSR,0.61596927,6.153936366
EUR,West Europe,0.615869287,6.321377839
EUR,North Europe,0.607611965,6.05454483
EUR,Baltic,0.591970181,5.835300945
LAM,Mexico,0.407458302,6.609803745
LAM,Rest of South America,0.35117909,7.181430437
LAM,Brazil,0.271796586,6.85287774
LAM,Rest of Centr. America,0.208879899,6.472476348
MNA,"Mid. east, North Africa",0.503182881,7.061321563
MNA,Turkey,0.348903819,6.335678428
NAM,United States,0.680505199,6.195075656
NAM,Canada,0.467857216,5.599025719
OCE,ANZ,0.313226597,7.310009565
OCE,Pacific islands,0.08503655,7.055457137
SAS,Rest of South Asia,0.070002993,6.729467013
SAS,India,0.047317704,6.044562119
SEA,Insular SEA,0.173884514,7.982422544
SEA,Continental SEA,0.172221655,8.093114622
SSA,South Africa,0.296855547,7.46798428
SSA,East Africa,0.202833093,7.003640129
SSA,Rest of South Africa,0.158188694,7.438560153
SSA,Congo basin,0.103437611,7.623536105
SSA,West Africa,0.053982173,5.924073862
